NAME,room type,price,review rate,house_rule,city,latitude,longitude
L7 강남바이롯데,호텔,0,4.1,"주차가능,휠체어사용,예약가능,와이파이",서울 중구,37.5651597,126.9808499
L7 명동바이롯데,호텔,0,4,"주차가능,휠체어사용,예약가능,와이파이",서울 강남구,37.5057026,127.0517173
롯데호텔 월드,호텔,0,3.9,"주차가능,예약가능,와이파이",서울 중구,37.5612297,126.9868853
롯데호텔 서울,호텔,0,4.3,"주차가능,예약가능",서울 송파구,37.5114987,127.0982387
르메르디앙 서울명동,호텔,0,3.9,,서울 중구,37.5652555,126.9806254
르아브르,호텔,0,2.5,,서울 중구,37.5612962,126.9832412
리버사이드게스트하우스,"여관,모텔",0,5,,서울 강서구,37.5528262,126.8539114
리제,게스트하우스,0,5,"주차가능,예약가능,와이파이",서울 광진구,37.536265,127.0647137
리치다이아몬드호텔,"두피,탈모관리",0,3.6,,서울 양천구,37.5639332,127.0098497
리치웰호텔,호텔,0,3.3,,서울 강북구,37.6364159,127.0172621
맹그로브 동대문,호텔,0,3.9,와이파이,서울 강남구,37.5043221,127.0401127
맹그로브 신설,숙박,0,3.7,,서울 중구,37.5574295,126.9761428
머큐어 앰배서더 서울 홍대,숙박,0,4.1,"주차가능,휠체어사용,예약가능,포장가능,배달가능,와이파이",서울 동대문구,37.5815205,127.0469248
메리어트 이그제큐티브아파트먼트 서울,호텔,0,3.2,,서울 마포구,37.5552548,126.9223997
메이플레이스 호텔 서울 동대문,호텔,0,3.5,,서울 영등포구,37.527274,126.9272604
메이필드호텔 서울,호텔,0,4.1,"주차가능,예약가능,놀이방",서울 종로구,37.57612,126.9988248
메트로호텔,호텔,0,4.2,,서울 강서구,37.5632859,126.8137674
모노홈스튜디오,호텔,0,4.2,"주차가능,휠체어사용,예약가능,와이파이",서울 중구,37.5651025,126.9836916
목시 서울 명동,공간대여,0,4,,서울 마포구,37.5568082,126.9299441
미담한옥게스트하우스,호텔,0,5,,서울 중구,37.5612962,126.9832412
바론드호텔,한옥숙소,0,2.5,,서울 종로구,37.5802628,126.9856262
반얀트리클럽앤스파서울,"여관,모텔",0,4.2,"주차가능,예약가능",서울 서대문구,37.557329,126.9387267
발리관광호텔,호텔,0,3,,서울 중구,37.5500945,127.0003194
베스트웨스턴프리미어 강남호텔,호텔,0,3.4,,서울 강동구,37.5332366,127.1224266
보라보라,호텔,0,5,,서울 강남구,37.5136217,127.056755
보보스모텔,유흥주점,0,2.6,"주차가능,예약가능",서울 용산구,37.5331704,126.9937452
보안스테이,"여관,모텔",0,3.7,,서울 영등포구,37.5241262,126.9086689
부티크호텔K 동대문점,게스트하우스,0,2.1,,서울 종로구,37.5781604,126.9739379
인우 한옥 게스트하우스,"여관,모텔",0,4,,서울 동대문구,37.5740734,127.0349161
북촌빈관by락고재,게스트하우스,0,4.9,,서울 종로구,37.5799385,126.9850315
브라운스위트호텔 신촌센트럴,한옥숙소,0,2,"주차가능,휠체어사용,예약가능,와이파이",서울 종로구,37.5823259,126.9843457
비바라비다,호텔,0,5,"예약가능,와이파이",서울 마포구,37.553735,126.9345735
비스타워커힐서울 피자힐,숙박,0,3.6,"예약가능,포장가능",서울 종로구,37.57552,127.0012401
빅존스플레이스,피자,0,1,,서울 광진구,37.5553271,127.1101533
사당이층집,게스트하우스,0,5,,서울 강남구,37.5040449,127.0252382
코리아게스트하우스,게스트하우스,88000,4.1,,서울 동작구,37.4819907,126.9765013
스테이인명동게스트하우스,게스트하우스,0,4,"예약가능,와이파이",서울 종로구,37.582034,126.982006
션샤인호텔서울 일마레,게스트하우스,0,3.6,예약가능,서울 중구,37.5603827,126.9873363
서울엔호스텔,이탈리안,0,3,,서울 강남구,37.521407,127.0336791
서울신라호텔,숙박,0,4.5,"주차가능,휠체어사용,예약가능,놀이방,와이파이",서울 중구,37.5651368,127.0022647
서울앤호텔 동대문,호텔,0,3.2,"주차가능,예약가능,와이파이",서울 중구,37.5571712,127.0077263
R게스트하우스,호텔,0,5,"예약가능,와이파이",서울 종로구,37.573587,127.0213125
서울올림픽파크텔,게스트하우스,0,3.8,"주차가능,예약가능",서울 용산구,37.5537809,126.9670969
서울큐브이화,호텔,0,3.5,,서울 송파구,37.5221984,127.1164983
서울프린스호텔,게스트하우스,0,4.4,,서울 마포구,37.5561113,126.9479916
서촌 영락재,호텔,0,4.3,"예약가능,흡연실,와이파이",서울 중구,37.5640616,127.0089762
석촌별채,한옥숙소,0,3.5,,서울 종로구,37.5805853,126.9668948
선음재,숙박,0,4.3,,서울 송파구,37.5121878,127.1120518
세연재,한옥숙소,0,3.6,,서울 종로구,37.5849769,126.9855348
세종호텔,숙박,0,1.8,"휠체어사용,예약가능,와이파이",서울 은평구,37.6403569,126.939427
센트럴호텔,호텔,0,1.6,주차가능,서울 중구,37.5614065,126.9880007
소담소담,호텔,0,4.3,"주차장없음,예약가능,포장가능",서울 종로구,37.5692172,126.9967142
소담스테이 미아점,샤브샤브,0,4.6,,서울 구로구,37.5909125,127.0091525
소라모텔,"고시원,고시텔",0,2,와이파이,서울 강북구,37.5473827,126.9577369
소테츠 프레사 인 서울 명동,"여관,모텔",0,4.8,,서울 서대문구,37.5564114,126.9398343
소테츠호텔즈 더 스프라지르 서울동대문,호텔,0,3.8,,서울 중구,37.5628575,126.9851914
소테츠 호텔즈 더 스프라지르 서울 명동,호텔,0,3.6,,서울 중구,37.5680753,127.0091046
소피텔 앰배서더 서울 호텔 & 서비스드 레지던스,호텔,0,4,"주차가능,휠체어사용,예약가능,와이파이",서울 중구,37.5619717,126.9788346
